home_team,away_team,date,score_dict
TOR,NOP,2019-10-22,"{0.2: 0, 0.2167: -2, 0.5167: -2, 0.5833: -2, 0.7333: -2, 0.75: -2, 0.8167: -2, 0.8667: -2, 1.0: -2, 1.0667: -2, 1.1: -1, 1.15: -1, 1.3833: -3, 1.55: -3, 1.7167: 0, 1.8167: -3, 1.9333: -3, 2.0833: -3, 2.15: -3, 2.1833: -3, 2.35: -6, 2.5667: -6, 2.6: -6, 2.7333: -6, 2.7667: -6, 2.8833: -6, 2.9667: -9, 3.0333: -9, 3.2: -9, 3.4333: -11, 3.6167: -9, 3.7: -9, 3.8333: -9, 3.8833: -9, 4.05: -11, 4.4667: -8, 4.7167: -8, 4.7833: -8, 5.0167: -5, 5.25: -5, 5.3: -5, 5.4: -5, 5.5: -5, 5.5333: -5, 5.6333: -7, 5.9333: -5, 6.1: -5, 6.2333: -5, 6.25: -3, 6.45: -3, 6.5: -3, 6.6167: -3, 6.6667: -3, 6.85: -1, 7.1: -1, 7.1333: -1, 7.2333: -1, 7.45: 1, 7.7333: 1, 7.8333: 1, 7.8667: 1, 7.8833: 1, 8.1: 1, 8.1667: 1, 8.1833: 1, 8.2667: 3, 8.4667: 3, 8.5167: 3, 8.5333: 3, 8.6333: 6, 8.9667: 3, 9.2667: 3, 9.4: 1, 9.6333: 1, 9.6833: 1, 9.75: -1, 9.95: -1, 10.1: -1, 10.15: -1, 10.1833: -1, 10.25: -1, 10.2833: -1, 10.5667: 1, 10.7833: 1, 11.0167: 1, 11.0667: -1, 11.2667: -1, 11.3: -1, 11.3333: -1, 11.4667: -1, 11.5667: -1, 11.6167: -1, 11.6667: -1, 11.7167: -1, 11.9667: -3, 12.3667: -3, 12.4167: -3, 12.4333: -3, 12.45: -3, 12.5167: -3, 12.6167: -3, 12.6333: -3, 12.65: -3, 12.9: -3, 12.9333: -3, 13.0667: -1, 13.45: -1, 13.6833: -1, 13.8667: -1, 14.1667: -4, 14.4167: -4, 14.4667: -4, 14.6333: -4, 14.8333: -7, 15.2333: -7, 15.2833: -7, 15.3667: -7, 15.45: -7, 15.4667: -4, 15.6667: -7, 15.9167: -7, 16.0833: -9, 16.1833: -8, 16.2167: -8, 16.4: -11, 16.6667: -11, 16.6833: -11, 16.8167: -8, 17.2833: -8, 17.4: -8, 17.65: -8, 17.7333: -8, 17.75: -8, 17.8167: -8, 17.8667: -8, 18.0667: -10, 18.2167: -8, 18.3: -8, 18.3333: -8, 18.3833: -8, 18.5167: -8, 18.5833: -8, 18.6333: -8, 18.6667: -8, 18.7333: -6, 19.0333: -6, 19.0833: -6, 19.2: -4, 19.4167: -7, 19.6: -5, 20.0: -5, 20.05: -5, 20.2167: -5, 20.2833: -5, 20.3167: -3, 20.3833: -3, 20.5167: -6, 20.7333: -6, 20.7667: -6, 20.9: -6, 20.9167: -6, 21.2: -6, 21.2333: -6, 21.35: -4, 21.5333: -4, 21.6: -2, 21.8333: -2, 21.8833: -2, 21.95: 0, 22.15: -2, 22.5167: -2, 22.55: 0, 22.6833: -2, 22.8333: -2, 23.0833: -4, 23.1667: -2, 23.2833: -5, 23.4: -5, 23.4667: -5, 23.5167: -5, 23.5667: -5, 23.6: -5, 23.7333: -5, 23.9833: -5, 24.0: -5, 24.3833: -3, 24.7: -5, 24.7833: -3, 25.05: -5, 25.0833: -5, 25.3333: -5, 25.3667: -5, 25.4: -2, 25.6667: -4, 25.9667: -4, 26.0167: -4, 26.0333: -4, 26.3: -4, 26.3667: -1, 26.6167: -4, 26.7833: -1, 27.0: -1, 27.0333: -1, 27.15: 1, 27.35: 1, 27.4833: 3, 27.5333: 3, 27.6833: 3, 27.8833: 3, 28.0333: 3, 28.0833: 3, 28.3: 3, 28.3333: 3, 28.5667: 3, 28.6167: 3, 28.6833: 0, 28.9333: 2, 29.0667: 2, 29.1333: 2, 29.3833: 2, 29.4333: 2, 29.5167: -1, 29.7: -1, 29.75: -1, 29.8667: -1, 29.9167: -1, 30.0: 1, 30.1167: 1, 30.4: 3, 30.5667: 3, 30.7667: 3, 30.8: 3, 31.0667: 3, 31.1333: 3, 31.15: 3, 31.25: 1, 31.5: 3, 31.7667: 3, 31.8167: 3, 31.9333: 3, 31.9667: 3, 32.0333: 3, 32.15: 4, 32.2: 4, 32.25: 4, 32.45: 4, 32.8333: 4, 32.8833: 4, 32.9333: 6, 33.1833: 6, 33.3167: 6, 33.35: 8, 33.7: 5, 34.0667: 7, 34.3833: 7, 34.4167: 7, 34.4833: 7, 34.5333: 7, 34.9: 7, 34.95: 7, 35.1: 7, 35.15: 7, 35.1667: 4, 35.5: 4, 35.5333: 4, 35.55: 4, 35.6: 4, 35.9333: 4, 35.9667: 2, 36.0: 2, 36.1667: 2, 36.2: 2, 36.3833: 2, 36.4: 3, 36.5667: 1, 36.8833: 1, 37.1: -1, 37.3: -1, 37.3333: -1, 37.5: -4, 37.8667: -2, 38.05: -2, 38.1: -2, 38.1667: -2, 38.2333: -2, 38.3667: -2, 38.4167: -2, 38.65: -5, 38.9: -2, 39.0833: -2, 39.3667: -2, 39.4167: -2, 39.5: -5, 39.6833: -2, 39.9333: -2, 40.0: -2, 40.2167: -2, 40.2667: -2, 40.4833: -2, 40.55: -2, 40.6333: -2, 40.6833: -2, 40.8167: 1, 41.0667: 1, 41.1167: 1, 41.25: 1, 41.2667: 1, 41.5167: 4, 41.6833: 4, 41.8667: 2, 42.15: 2, 42.1667: 2, 42.25: 0, 42.65: 0, 42.6667: 0, 42.8: -3, 43.0167: -3, 43.0333: -3, 43.1667: -3, 43.5167: -6, 43.75: -6, 43.7667: -6, 43.85: -6, 44.1833: -6, 44.2333: -6, 44.3333: -4, 44.5333: -4, 44.6: -4, 44.7: -1, 44.9667: -1, 45.0167: -1, 45.15: 1, 45.3833: 0, 45.7667: 2, 45.95: 0, 46.35: 0, 46.4: 0, 46.5333: -3, 46.6833: 0, 47.0167: -2, 47.1667: -2, 47.4667: -2, 47.5167: 0, 47.8333: 0, 47.8667: 0, 48.0: 0, 55.25: 2, 55.4833: -1, 55.6667: -1, 55.7167: -1, 55.8833: -1, 55.9167: -1, 56.1167: -1, 56.1667: -1, 56.3167: -1, 56.3667: -1, 56.6167: -1, 56.65: -1, 56.8667: -1, 56.9333: -1, 57.0833: -1, 57.3833: 2, 57.6167: 0, 57.9: 2, 58.2333: 2, 58.2667: 2, 58.55: 5, 58.7: 5, 58.7333: 5, 58.7667: 5, 59.0667: 8, 59.2833: 8, 59.3333: 8, 59.4333: 8, 59.7: 8, 59.7333: 8, 59.7667: 8, 59.8333: 8, 59.8667: 8, 59.9: 8}"
LAC,LAL,2019-10-22,"{0.2167: -2, 0.3333: -2, 0.3667: -2, 0.6167: -5, 1.0: -5, 1.05: -5, 1.2167: -5, 1.25: -5, 1.5167: -5, 1.6: -3, 1.9167: -5, 2.0333: -5, 2.1333: -5, 2.2: -5, 2.25: -5, 2.5: -7, 2.85: -7, 2.9167: -7, 3.1: -7, 3.1167: -9, 3.3167: -9, 3.5: -9, 3.6: -11, 3.7833: -11, 3.8333: -11, 3.8667: -11, 3.95: -11, 3.9667: -11, 4.0833: -9, 4.4333: -9, 4.7: -7, 5.0333: -7, 5.05: -7, 5.1667: -7, 5.2833: -5, 5.4667: -7, 5.7333: -7, 5.75: -7, 6.0167: -7, 6.05: -7, 6.1: -7, 6.4167: -9, 6.6: -9, 6.6333: -9, 6.8167: -9, 6.8333: -9, 6.9667: -9, 7.0667: -9, 7.1167: -9, 7.2333: -9, 7.2667: -9, 7.4333: -9, 7.4833: -9, 7.5167: -9, 7.55: -9, 7.75: -9, 7.95: -9, 8.0833: -9, 8.1: -9, 8.15: -9, 8.1833: -9, 8.35: -9, 8.45: -7, 8.6667: -8, 8.7167: -8, 8.8333: -5, 9.0833: -8, 9.4: -8, 9.45: -8, 9.5667: -6, 9.8333: -8, 9.9333: -6, 10.1833: -8, 10.4167: -8, 10.4833: -8, 10.7333: -8, 11.0167: -6, 11.2667: -6, 11.3167: -6, 11.6667: -3, 12.2833: -3, 12.35: -3, 12.4: -3, 12.5833: -1, 12.7833: -1, 12.8167: -1, 12.9667: 2, 13.2: -1, 13.3167: -1, 13.6833: -4, 13.9167: -4, 13.9833: -4, 14.0: -4, 14.1: -4, 14.1667: -2, 14.45: -2, 14.4833: -2, 14.6667: 0, 14.9667: -3, 15.3: 0, 15.4667: -2, 15.65: 0, 16.0167: -3, 16.4333: -1, 16.7167: -1, 16.7833: -1, 16.8667: 1, 17.2667: 1, 17.35: 1, 17.3833: 1, 17.5167: 3, 17.7833: 3, 17.8667: 6, 17.8833: 6, 18.2333: 6, 18.5: 8, 18.8: 5, 18.9667: 7, 19.2: 5, 19.3667: 5, 19.4167: 5, 19.6: 5, 19.65: 5, 19.7833: 5, 19.8167: 5, 19.9833: 5, 20.0333: 5, 20.0833: 5, 20.15: 5, 20.2667: 5, 20.45: 5, 20.5: 5, 20.6167: 5, 20.7: 5, 20.7833: 5, 20.8167: 5, 21.0167: 3, 21.2167: 4, 21.45: 2, 21.65: 4, 21.8667: 1, 22.1: 3, 22.45: 3, 22.5167: 3, 22.5667: 4, 22.6: 4, 22.7: 4, 22.75: 4, 22.7833: 6, 23.0167: 6, 23.0667: 6, 23.15: 6, 23.2: 6, 23.3667: 4, 23.4667: 7, 23.6: 6, 23.9167: 8, 24.0: 8, 24.35: 8, 24.4: 8, 24.6667: 6, 24.8333: 7, 25.0: 9, 25.3333: 9, 25.3667: 9, 25.5: 11, 25.9167: 11, 25.9833: 11, 26.0667: 14, 26.3167: 11, 26.7667: 11, 26.8167: 11, 27.0333: 10, 27.3667: 12, 27.7167: 12, 27.7667: 12, 27.8: 12, 28.1: 8, 28.35: 8, 28.6833: 8, 28.7333: 8, 28.7667: 8, 28.8167: 8, 28.8333: 8, 28.85: 6, 29.0833: 8, 29.5167: 8, 29.7: 10, 29.9333: 10, 30.1333: 10, 30.1667: 10, 30.1833: 11, 30.5: 11, 30.5333: 11, 30.65: 11, 30.7: 11, 30.9333: 11, 30.9833: 11, 31.05: 11, 31.0833: 11, 31.2833: 9, 31.5333: 11, 31.6833: 11, 31.9: 11, 31.9333: 11, 31.9667: 9, 32.1667: 12, 32.4333: 12, 32.45: 12, 32.55: 12, 32.65: 10, 32.7667: 10, 32.8: 10, 32.9333: 7, 33.25: 7, 33.3667: 7, 33.4333: 7, 33.6333: 7, 33.7333: 4, 34.0667: 4, 34.2167: 4, 34.2833: 4, 34.4833: 2, 34.8: 2, 34.8667: 2, 35.05: 2, 35.0667: 0, 35.1667: 0, 35.2: 0, 35.25: -3, 35.5833: 0, 35.9833: 0, 36.0: 0, 36.3333: 0, 36.55: 2, 36.75: 2, 36.8167: 2, 36.8667: 2, 36.8833: 2, 36.9: 2, 36.95: 2, 37.1: 2, 37.1333: 2, 37.2: 4, 37.4167: 4, 37.4667: 4, 37.5167: 4, 37.5667: 4, 37.65: 4, 37.9: 4, 37.9833: 4, 38.2667: 7, 38.7167: 7, 38.75: 7, 38.9333: 7, 38.9833: 7, 39.15: 5, 39.45: 5, 39.5167: 5, 39.6833: 2, 39.7: 2, 39.8667: 2, 39.9333: 2, 40.0833: 2, 40.1667: 4, 40.35: 4, 40.3833: 4, 40.4: 4, 40.55: 4, 40.6167: 4, 40.7: 4, 40.9833: 7, 41.0167: 7, 41.2833: 7, 41.35: 7, 41.4: 7, 41.7167: 7, 41.7667: 7, 41.7833: 9, 42.0667: 9, 42.3: 11, 42.6167: 9, 42.8167: 11, 42.85: 11, 42.9833: 11, 43.0167: 11, 43.3167: 11, 43.35: 11, 43.3667: 11, 43.4333: 9, 43.5333: 10, 43.7: 10, 43.7667: 10, 43.9167: 8, 44.1667: 8, 44.3167: 10, 44.5333: 7, 44.7833: 8, 44.8333: 8, 44.9167: 11, 45.15: 8, 45.25: 8, 45.5167: 8, 45.7833: 10, 46.0: 10, 46.05: 10, 46.4: 10, 46.45: 10, 46.6167: 10, 46.7: 10, 46.8667: 10, 47.1333: 10, 47.1667: 10, 47.5: 10, 47.55: 10, 47.65: 10, 47.7: 10}"
CHO,CHI,2019-10-23,"{0.3667: 0, 0.4: 0, 0.65: 0, 0.7: 0, 0.7833: 0, 0.8833: 0, 0.9: 0, 1.1: -2, 1.35: -2, 1.4: -2, 1.5: -4, 1.7: -4, 1.7667: -2, 1.9333: -2, 1.9667: -2, 2.15: -2, 2.2: -2, 2.2833: 1, 2.6: -1, 2.7667: -1, 2.8167: -1, 3.1167: -1, 3.1667: -1, 3.25: 1, 3.45: 1, 3.5: 1, 3.65: 4, 3.9: 4, 3.9333: 4, 4.0: 4, 4.05: 4, 4.1: 4, 4.3333: 4, 4.3667: 2, 4.5333: 2, 4.65: 5, 4.8333: 3, 5.0: 6, 5.2833: 6, 5.3333: 6, 5.3833: 6, 5.4667: 4, 5.5: 4, 5.75: 4, 5.9333: 4, 6.0: 4, 6.0333: 6, 6.3167: 6, 6.3667: 4, 6.5333: 4, 6.5667: 4, 6.8: 2, 7.0667: 4, 7.2833: 4, 7.35: 4, 7.3667: 4, 7.4167: 4, 7.45: 4, 7.55: 6, 7.7: 6, 7.7833: 4, 8.15: 4, 8.3167: 4, 8.3667: 4, 8.4667: 1, 8.75: 1, 8.7833: 1, 8.9: -1, 8.9667: -1, 9.0333: 2, 9.2333: 2, 9.2833: 2, 9.45: 5, 9.7: 5, 9.7833: 5, 10.0167: 8, 10.2833: 8, 10.3667: 8, 10.4167: 10, 10.65: 8, 11.0: 10, 11.2: 7, 11.4667: 9, 11.6667: 9, 11.7: 9, 11.9833: 9, 12.15: 9, 12.35: 7, 12.5: 7, 12.55: 10, 12.8833: 10, 12.95: 10, 13.0333: 10, 13.1333: 8, 13.5: 8, 13.5333: 8, 13.5833: 8, 13.6: 8, 13.8333: 8, 13.95: 6, 14.05: 6, 14.1: 4, 14.3333: 4, 14.45: 6, 14.5667: 3, 14.7667: 5, 14.8667: 4, 15.1: 6, 15.25: 6, 15.3167: 6, 15.3833: 6, 15.65: 8, 15.7667: 8, 16.05: 8, 16.1167: 8, 16.1667: 8, 16.3167: 8, 16.4: 8, 16.4167: 8, 16.6: 8, 16.65: 8, 16.7833: 8, 16.8667: 10, 17.0833: 10, 17.1667: 10, 17.3833: 10, 17.4167: 10, 17.5167: 8, 17.7667: 8, 17.8167: 8, 17.9833: 8, 18.0: 8, 18.0667: 11, 18.3333: 11, 18.4: 11, 18.5667: 11, 18.6: 11, 18.9: 11, 18.9667: 11, 19.0833: 11, 19.1333: 11, 19.15: 11, 19.2167: 11, 19.25: 11, 19.3: 13, 19.4667: 11, 19.8333: 13, 19.9333: 10, 20.1667: 10, 20.3: 13, 20.6667: 13, 20.7: 13, 20.7333: 13, 20.8833: 13, 20.95: 13, 21.2167: 16, 21.6: 16, 21.6333: 14, 21.9167: 14, 22.0: 12, 22.3833: 12, 22.4333: 12, 22.6833: 10, 22.8: 10, 22.9333: 8, 23.1833: 8, 23.35: 8, 23.4167: 8, 23.45: 8, 23.8: 8, 23.8167: 8, 24.25: 8, 24.2833: 8, 24.5: 6, 24.65: 8, 24.85: 8, 25.1333: 10, 25.2667: 10, 25.4: 10, 25.4833: 8, 25.7667: 8, 25.8167: 8, 25.9833: 7, 26.0667: 5, 26.3: 5, 26.35: 5, 26.5: 5, 26.55: 5, 26.6167: 5, 26.7667: 5, 26.8167: 5, 26.95: 3, 27.2: 3, 27.2333: 3, 27.2833: 1, 27.3: 1, 27.5: 5, 27.8: 5, 27.8333: 5, 27.85: 3, 28.0667: 3, 28.1833: 1, 28.4: 3, 28.5667: 3, 28.6333: 3, 28.7: 3, 28.75: 3, 28.7833: 3, 28.8333: 0, 29.1167: 0, 29.1667: 0, 29.3167: -2, 29.7: -1, 29.9: -3, 30.05: -3, 30.1833: -3, 30.3167: -3, 30.3667: -3, 30.4: -3, 30.5: -3, 30.5667: -3, 30.6833: -1, 30.85: -4, 31.0667: -4, 31.2: -6, 31.6: -3, 31.8667: -3, 31.9: -3, 31.9667: 0, 31.9833: 0, 32.35: 0, 32.3833: 0, 32.4167: 0, 32.65: -2, 32.8833: -2, 33.0: -2, 33.0667: 0, 33.25: 0, 33.45: 0, 33.5333: -2, 33.7667: -2, 33.7833: -2, 34.0167: 1, 34.35: -1, 34.45: 2, 34.7167: 0, 34.8833: 3, 35.1667: 0, 35.5167: 3, 35.9: 1, 36.0: 1, 36.3167: 0, 36.5333: 0, 36.5833: 0, 36.6833: 0, 36.75: 0, 36.8: 0, 36.8333: 0, 36.9: 3, 37.05: 1, 37.2167: 1, 37.3: 1, 37.5333: 1, 37.6167: 1, 37.9167: 3, 38.05: 0, 38.3: 3, 38.5: 0, 38.7667: 0, 38.8167: 0, 39.0: -2, 39.0833: -2, 39.25: -2, 39.2833: -5, 39.5333: -5, 39.75: -5, 39.8: -5, 39.9333: -4, 40.2: -4, 40.2667: -4, 40.2833: -4, 40.3667: -6, 40.5167: -6, 40.5833: -8, 40.8167: -8, 40.8667: -8, 40.9: -10, 41.1833: -10, 41.3833: -10, 41.4333: -10, 41.5167: -7, 41.6833: -10, 42.1333: -10, 42.1833: -10, 42.3667: -10, 42.6833: -10, 42.7333: -10, 42.95: -7, 43.2: -7, 43.25: -7, 43.3333: -7, 43.3833: -7, 43.5833: -7, 43.6667: -7, 43.7: -4, 43.9333: -4, 44.0: -4, 44.15: -4, 44.2: -4, 44.45: -2, 44.85: -2, 44.9167: -2, 45.2667: 0, 45.7167: 0, 45.9667: 0, 46.0167: 0, 46.0833: -1, 46.3333: 1, 46.5667: 1, 46.8167: 4, 46.8333: 4, 47.0167: 2, 47.4: 2, 47.4667: 2, 47.65: 2, 47.6833: 2, 47.7: 3, 47.7167: 1, 47.8167: 3, 47.9333: 1}"
ORL,CLE,2019-10-23,"{0.25: 0, 0.3167: 0, 0.5: -2, 0.7: 1, 1.1167: 1, 1.2: 1, 1.25: 1, 1.3333: -1, 1.5333: 1, 1.8167: 1, 1.9333: 3, 2.3333: 1, 2.6833: 4, 2.9167: 2, 3.1167: 2, 3.2667: -1, 3.5833: 1, 3.7833: 1, 4.0167: 1, 4.05: 1, 4.0833: 1, 4.2833: 1, 4.3833: -2, 4.7833: -2, 4.8167: -2, 4.8333: -2, 5.1: 1, 5.35: -1, 5.6: 1, 5.8333: 1, 5.8833: 1, 6.1833: 3, 6.5: 1, 6.8667: 1, 6.9167: 1, 7.2333: 1, 7.2667: 1, 7.4333: 3, 7.8167: 1, 8.0333: 1, 8.0833: 1, 8.2: -1, 8.3833: 1, 8.8: 1, 8.9: 1, 9.0833: 1, 9.1333: 1, 9.2: 1, 9.3167: 3, 9.5333: 3, 9.5833: 3, 9.7167: 3, 9.9167: 3, 9.9667: 3, 10.1667: 3, 10.2: 3, 10.3333: 5, 10.6167: 5, 10.65: 5, 10.7: 6, 11.0: 6, 11.15: 6, 11.2: 6, 11.3167: 4, 11.45: 4, 11.5: 4, 11.7167: 4, 11.75: 4, 11.9833: 4, 12.25: 4, 12.3333: 4, 12.4333: 4, 12.4833: 4, 12.6167: 2, 12.8833: 4, 13.1667: 2, 13.4333: 2, 13.6333: 2, 13.7833: 2, 13.8333: 2, 14.1: 2, 14.15: 2, 14.2333: 2, 14.3: 2, 14.3333: 5, 14.5833: 5, 14.6: 5, 14.8333: 5, 14.8667: 5, 14.9833: 5, 15.0833: 5, 15.15: 5, 15.4167: 5, 15.4667: 5, 15.6: 6, 15.7667: 6, 15.85: 6, 15.9: 9, 15.9167: 9, 16.1333: 9, 16.2333: 9, 16.4167: 11, 16.7167: 11, 16.7833: 11, 16.8833: 14, 17.2167: 14, 17.2667: 14, 17.4167: 14, 17.45: 16, 17.6: 16, 17.6333: 16, 17.7667: 16, 17.8333: 16, 18.1167: 16, 18.15: 16, 18.3667: 16, 18.5: 16, 18.7833: 16, 18.8333: 16, 18.9333: 18, 19.1167: 15, 19.35: 15, 19.4167: 15, 19.4667: 15, 19.5167: 17, 19.7667: 15, 20.0: 18, 20.2333: 18, 20.3167: 18, 20.35: 18, 20.45: 18, 20.55: 18, 20.5667: 18, 20.8: 18, 20.9: 18, 21.15: 18, 21.3833: 20, 21.8333: 20, 21.85: 20, 22.0167: 20, 22.0667: 20, 22.1667: 20, 22.2167: 20, 22.4: 17, 22.8167: 19, 22.8667: 19, 23.05: 19, 23.1833: 19, 23.2: 17, 23.4833: 17, 23.5: 17, 23.8667: 14, 23.9667: 14, 24.0: 14, 24.2833: 12, 24.45: 12, 24.6833: 12, 24.7167: 12, 24.8: 12, 24.9167: 12, 25.2833: 12, 25.3333: 12, 25.45: 12, 25.6167: 12, 25.65: 12, 25.7667: 14, 26.0833: 12, 26.3833: 12, 26.4167: 12, 26.4333: 10, 26.6833: 10, 26.7167: 10, 26.85: 10, 26.8667: 10, 26.8833: 10, 27.0833: 12, 27.4833: 9, 27.8167: 9, 27.8333: 9, 27.8667: 9, 28.0167: 7, 28.3667: 7, 28.4: 7, 28.4833: 5, 28.6167: 5, 28.7833: 7, 29.0667: 6, 29.3833: 8, 29.7333: 8, 29.7833: 8, 29.9333: 10, 30.3: 10, 30.3333: 10, 30.4833: 10, 30.5333: 10, 30.6333: 10, 30.85: 12, 31.0833: 12, 31.15: 14, 31.35: 14, 31.4: 14, 31.6167: 14, 31.6667: 14, 31.8: 11, 32.15: 11, 32.2: 11, 32.3: 11, 32.5167: 11, 32.5833: 11, 32.9167: 11, 32.95: 11, 33.1667: 11, 33.2: 11, 33.2333: 11, 33.35: 11, 33.45: 9, 33.6667: 11, 33.9333: 11, 33.9833: 11, 34.1: 11, 34.2833: 11, 34.3: 11, 34.3333: 9, 34.6333: 9, 34.6667: 9, 34.7833: 9, 34.9: 9, 34.95: 9, 35.0167: 9, 35.1: 9, 35.1333: 9, 35.3667: 7, 35.6833: 7, 35.75: 7, 35.9833: 6, 36.2167: 8, 36.5667: 6, 37.0167: 6, 37.05: 6, 37.2333: 6, 37.2833: 6, 37.5333: 9, 37.85: 9, 37.9: 9, 37.9833: 12, 38.45: 10, 38.6833: 11, 38.7167: 12, 38.75: 12, 38.9833: 12, 39.0333: 12, 39.1833: 12, 39.2667: 12, 39.5167: 12, 39.5667: 12, 39.75: 14, 39.95: 14, 39.9667: 14, 40.1: 14, 40.15: 14, 40.1833: 14, 40.3167: 14, 40.3833: 14, 40.45: 14, 40.5333: 14, 40.5667: 14, 40.8: 14, 41.0333: 14, 41.1: 12, 41.2833: 12, 41.3333: 12, 41.5167: 12, 41.6167: 14, 41.85: 14, 41.9333: 14, 42.15: 14, 42.3: 14, 42.35: 14, 42.45: 14, 42.5: 14, 42.65: 16, 42.9833: 15, 43.0333: 15, 43.0667: 15, 43.1167: 15, 43.35: 17, 43.65: 17, 43.6667: 17, 43.8833: 17, 43.95: 17, 44.2167: 17, 44.25: 17, 44.3333: 17, 44.4333: 15, 44.5667: 15, 44.7: 15, 44.75: 15, 45.0167: 15, 45.2833: 15, 45.35: 15, 45.5333: 13, 45.7167: 13, 45.7667: 13, 45.8333: 13, 46.0: 15, 46.0333: 15, 46.3167: 12, 46.4667: 12, 46.5333: 12, 46.7833: 12, 46.85: 12, 46.8667: 9, 47.1333: 9, 47.1833: 9, 47.3: 6, 47.5167: 7, 47.55: 7, 47.7: 7, 47.7333: 7, 47.8: 9, 47.8667: 9, 47.9667: 9, 47.9833: 9}"
