home_team,away_team,date,home_team_box,away_team_box,pt20_scorers,pt30_scorers,pt40_scorers,pt50_scorers
MEM,GSW,2020-01-12,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '45', 'FGA': '100', 'FG%': '.450', '3P': '11', '3PA': '35', '3P%': '.314', 'FT': '21', 'FTA': '25', 'FT%': '.840', 'ORB': '18', 'DRB': '42', 'TRB': '60', 'AST': '33', 'STL': '17', 'BLK': '7', 'TOV': '16', 'PF': '16', 'PTS': '122', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '35', 'FGA': '92', 'FG%': '.380', '3P': '17', '3PA': '34', '3P%': '.500', 'FT': '15', 'FTA': '21', 'FT%': '.714', 'ORB': '12', 'DRB': '35', 'TRB': '47', 'AST': '23', 'STL': '11', 'BLK': '6', 'TOV': '22', 'PF': '18', 'PTS': '102', '+/-': nan}",3,2,0,0
TOR,SAS,2020-01-12,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '39', 'FGA': '96', 'FG%': '.406', '3P': '17', '3PA': '48', '3P%': '.354', 'FT': '9', 'FTA': '11', 'FT%': '.818', 'ORB': '8', 'DRB': '37', 'TRB': '45', 'AST': '30', 'STL': '7', 'BLK': '3', 'TOV': '11', 'PF': '23', 'PTS': '104', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '38', 'FGA': '87', 'FG%': '.437', '3P': '7', '3PA': '32', '3P%': '.219', 'FT': '22', 'FTA': '30', 'FT%': '.733', 'ORB': '9', 'DRB': '42', 'TRB': '51', 'AST': '24', 'STL': '6', 'BLK': '5', 'TOV': '11', 'PF': '11', 'PTS': '105', '+/-': nan}",2,0,0,0
PHO,CHO,2020-01-12,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '41', 'FGA': '82', 'FG%': '.500', '3P': '7', '3PA': '21', '3P%': '.333', 'FT': '11', 'FTA': '18', 'FT%': '.611', 'ORB': '12', 'DRB': '39', 'TRB': '51', 'AST': '22', 'STL': '8', 'BLK': '5', 'TOV': '18', 'PF': '19', 'PTS': '100', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '36', 'FGA': '86', 'FG%': '.419', '3P': '8', '3PA': '35', '3P%': '.229', 'FT': '12', 'FTA': '18', 'FT%': '.667', 'ORB': '8', 'DRB': '29', 'TRB': '37', 'AST': '25', 'STL': '10', 'BLK': '3', 'TOV': '14', 'PF': '19', 'PTS': '92', '+/-': nan}",3,0,0,0
DEN,LAC,2020-01-12,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '77', 'FG%': '.481', '3P': '11', '3PA': '25', '3P%': '.440', 'FT': '29', 'FTA': '37', 'FT%': '.784', 'ORB': '9', 'DRB': '35', 'TRB': '44', 'AST': '24', 'STL': '7', 'BLK': '4', 'TOV': '13', 'PF': '26', 'PTS': '114', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '38', 'FGA': '84', 'FG%': '.452', '3P': '8', '3PA': '33', '3P%': '.242', 'FT': '20', 'FTA': '26', 'FT%': '.769', 'ORB': '10', 'DRB': '32', 'TRB': '42', 'AST': '21', 'STL': '8', 'BLK': '5', 'TOV': '14', 'PF': '26', 'PTS': '104', '+/-': nan}",3,0,0,0
DET,NOP,2020-01-13,"{'PLAYER': 'Team Totals', 'MP': '265', 'FG': '40', 'FGA': '99', 'FG%': '.404', '3P': '11', '3PA': '32', '3P%': '.344', 'FT': '19', 'FTA': '24', 'FT%': '.792', 'ORB': '5', 'DRB': '38', 'TRB': '43', 'AST': '27', 'STL': '11', 'BLK': '8', 'TOV': '9', 'PF': '25', 'PTS': '110', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '265', 'FG': '43', 'FGA': '103', 'FG%': '.417', '3P': '9', '3PA': '26', '3P%': '.346', 'FT': '22', 'FTA': '27', 'FT%': '.815', 'ORB': '17', 'DRB': '44', 'TRB': '61', 'AST': '23', 'STL': '6', 'BLK': '5', 'TOV': '19', 'PF': '19', 'PTS': '117', '+/-': nan}",2,0,0,0
IND,PHI,2020-01-13,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '33', 'FGA': '86', 'FG%': '.384', '3P': '10', '3PA': '26', '3P%': '.385', 'FT': '25', 'FTA': '31', 'FT%': '.806', 'ORB': '13', 'DRB': '37', 'TRB': '50', 'AST': '24', 'STL': '6', 'BLK': '6', 'TOV': '9', 'PF': '14', 'PTS': '101', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '89', 'FG%': '.416', '3P': '6', '3PA': '33', '3P%': '.182', 'FT': '15', 'FTA': '19', 'FT%': '.789', 'ORB': '12', 'DRB': '40', 'TRB': '52', 'AST': '17', 'STL': '6', 'BLK': '4', 'TOV': '11', 'PF': '21', 'PTS': '95', '+/-': nan}",4,0,0,0
BOS,CHI,2020-01-13,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '39', 'FGA': '83', 'FG%': '.470', '3P': '9', '3PA': '23', '3P%': '.391', 'FT': '26', 'FTA': '29', 'FT%': '.897', 'ORB': '10', 'DRB': '33', 'TRB': '43', 'AST': '28', 'STL': '7', 'BLK': '6', 'TOV': '12', 'PF': '19', 'PTS': '113', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '81', 'FG%': '.457', '3P': '6', '3PA': '25', '3P%': '.240', 'FT': '21', 'FTA': '26', 'FT%': '.808', 'ORB': '7', 'DRB': '31', 'TRB': '38', 'AST': '16', 'STL': '5', 'BLK': '5', 'TOV': '14', 'PF': '22', 'PTS': '101', '+/-': nan}",2,0,0,0
MIN,OKC,2020-01-13,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '38', 'FGA': '91', 'FG%': '.418', '3P': '12', '3PA': '35', '3P%': '.343', 'FT': '16', 'FTA': '21', 'FT%': '.762', 'ORB': '9', 'DRB': '28', 'TRB': '37', 'AST': '23', 'STL': '10', 'BLK': '6', 'TOV': '9', 'PF': '21', 'PTS': '104', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '41', 'FGA': '82', 'FG%': '.500', '3P': '12', '3PA': '30', '3P%': '.400', 'FT': '23', 'FTA': '26', 'FT%': '.885', 'ORB': '7', 'DRB': '44', 'TRB': '51', 'AST': '25', 'STL': '4', 'BLK': '6', 'TOV': '15', 'PF': '16', 'PTS': '117', '+/-': nan}",1,0,0,0
POR,CHO,2020-01-13,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '83', 'FG%': '.506', '3P': '16', '3PA': '37', '3P%': '.432', 'FT': '15', 'FTA': '19', 'FT%': '.789', 'ORB': '9', 'DRB': '38', 'TRB': '47', 'AST': '26', 'STL': '4', 'BLK': '5', 'TOV': '13', 'PF': '21', 'PTS': '115', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '40', 'FGA': '90', 'FG%': '.444', '3P': '18', '3PA': '38', '3P%': '.474', 'FT': '14', 'FTA': '18', 'FT%': '.778', 'ORB': '10', 'DRB': '32', 'TRB': '42', 'AST': '24', 'STL': '7', 'BLK': '3', 'TOV': '8', 'PF': '20', 'PTS': '112', '+/-': nan}",4,0,0,0
SAC,ORL,2020-01-13,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '45', 'FGA': '87', 'FG%': '.517', '3P': '12', '3PA': '31', '3P%': '.387', 'FT': '10', 'FTA': '11', 'FT%': '.909', 'ORB': '4', 'DRB': '40', 'TRB': '44', 'AST': '25', 'STL': '6', 'BLK': '4', 'TOV': '12', 'PF': '21', 'PTS': '112', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '40', 'FGA': '92', 'FG%': '.435', '3P': '9', '3PA': '29', '3P%': '.310', 'FT': '25', 'FTA': '30', 'FT%': '.833', 'ORB': '12', 'DRB': '34', 'TRB': '46', 'AST': '17', 'STL': '6', 'BLK': '5', 'TOV': '8', 'PF': '12', 'PTS': '114', '+/-': nan}",4,2,0,0
LAL,CLE,2020-01-13,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '48', 'FGA': '88', 'FG%': '.545', '3P': '11', '3PA': '30', '3P%': '.367', 'FT': '21', 'FTA': '28', 'FT%': '.750', 'ORB': '11', 'DRB': '34', 'TRB': '45', 'AST': '33', 'STL': '8', 'BLK': '3', 'TOV': '9', 'PF': '25', 'PTS': '128', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '38', 'FGA': '85', 'FG%': '.447', '3P': '7', '3PA': '25', '3P%': '.280', 'FT': '16', 'FTA': '24', 'FT%': '.667', 'ORB': '10', 'DRB': '30', 'TRB': '40', 'AST': '21', 'STL': '4', 'BLK': '1', 'TOV': '19', 'PF': '22', 'PTS': '99', '+/-': nan}",3,1,0,0
