home_team,away_team,date,home_team_box,away_team_box,pt20_scorers,pt30_scorers,pt40_scorers,pt50_scorers
TOR,NOP,2019-10-22,"{'PLAYER': 'Team Totals', 'MP': '265', 'FG': '42', 'FGA': '103', 'FG%': '.408', '3P': '14', '3PA': '40', '3P%': '.350', 'FT': '32', 'FTA': '38', 'FT%': '.842', 'ORB': '16', 'DRB': '41', 'TRB': '57', 'AST': '23', 'STL': '7', 'BLK': '3', 'TOV': '16', 'PF': '24', 'PTS': '130', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '265', 'FG': '43', 'FGA': '102', 'FG%': '.422', '3P': '19', '3PA': '45', '3P%': '.422', 'FT': '17', 'FTA': '20', 'FT%': '.850', 'ORB': '16', 'DRB': '37', 'TRB': '53', 'AST': '30', 'STL': '4', 'BLK': '9', 'TOV': '19', 'PF': '34', 'PTS': '122', '+/-': nan}",4,2,0,0
LAC,LAL,2019-10-22,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '81', 'FG%': '.519', '3P': '11', '3PA': '31', '3P%': '.355', 'FT': '17', 'FTA': '24', 'FT%': '.708', 'ORB': '11', 'DRB': '34', 'TRB': '45', 'AST': '24', 'STL': '8', 'BLK': '5', 'TOV': '14', 'PF': '25', 'PTS': '112', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '85', 'FG%': '.435', '3P': '13', '3PA': '33', '3P%': '.394', 'FT': '15', 'FTA': '21', 'FT%': '.714', 'ORB': '9', 'DRB': '32', 'TRB': '41', 'AST': '20', 'STL': '4', 'BLK': '7', 'TOV': '14', 'PF': '24', 'PTS': '102', '+/-': nan}",4,0,0,0
CHO,CHI,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '45', 'FGA': '88', 'FG%': '.511', '3P': '23', '3PA': '44', '3P%': '.523', 'FT': '13', 'FTA': '16', 'FT%': '.813', 'ORB': '9', 'DRB': '32', 'TRB': '41', 'AST': '28', 'STL': '3', 'BLK': '4', 'TOV': '19', 'PF': '18', 'PTS': '126', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '49', 'FGA': '105', 'FG%': '.467', '3P': '9', '3PA': '30', '3P%': '.300', 'FT': '18', 'FTA': '22', 'FT%': '.818', 'ORB': '20', 'DRB': '29', 'TRB': '49', 'AST': '25', 'STL': '11', 'BLK': '4', 'TOV': '10', 'PF': '20', 'PTS': '125', '+/-': nan}",4,1,0,0
ORL,CLE,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '86', 'FG%': '.430', '3P': '9', '3PA': '30', '3P%': '.300', 'FT': '11', 'FTA': '19', 'FT%': '.579', 'ORB': '7', 'DRB': '39', 'TRB': '46', 'AST': '24', 'STL': '12', 'BLK': '4', 'TOV': '13', 'PF': '18', 'PTS': '94', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '33', 'FGA': '88', 'FG%': '.375', '3P': '9', '3PA': '34', '3P%': '.265', 'FT': '10', 'FTA': '15', 'FT%': '.667', 'ORB': '10', 'DRB': '44', 'TRB': '54', 'AST': '20', 'STL': '8', 'BLK': '2', 'TOV': '16', 'PF': '15', 'PTS': '85', '+/-': nan}",1,0,0,0
IND,DET,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '41', 'FGA': '89', 'FG%': '.461', '3P': '8', '3PA': '21', '3P%': '.381', 'FT': '20', 'FTA': '24', 'FT%': '.833', 'ORB': '10', 'DRB': '26', 'TRB': '36', 'AST': '26', 'STL': '8', 'BLK': '6', 'TOV': '15', 'PF': '28', 'PTS': '110', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '41', 'FGA': '78', 'FG%': '.526', '3P': '11', '3PA': '24', '3P%': '.458', 'FT': '26', 'FTA': '33', 'FT%': '.788', 'ORB': '10', 'DRB': '35', 'TRB': '45', 'AST': '26', 'STL': '5', 'BLK': '6', 'TOV': '18', 'PF': '21', 'PTS': '119', '+/-': nan}",5,1,0,0
PHI,BOS,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '85', 'FG%': '.435', '3P': '7', '3PA': '29', '3P%': '.241', 'FT': '26', 'FTA': '36', 'FT%': '.722', 'ORB': '12', 'DRB': '50', 'TRB': '62', 'AST': '24', 'STL': '6', 'BLK': '7', 'TOV': '15', 'PF': '34', 'PTS': '107', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '33', 'FGA': '90', 'FG%': '.367', '3P': '7', '3PA': '26', '3P%': '.269', 'FT': '20', 'FTA': '34', 'FT%': '.588', 'ORB': '10', 'DRB': '31', 'TRB': '41', 'AST': '18', 'STL': '4', 'BLK': '2', 'TOV': '10', 'PF': '29', 'PTS': '93', '+/-': nan}",3,0,0,0
MIA,MEM,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '40', 'FGA': '85', 'FG%': '.471', '3P': '7', '3PA': '18', '3P%': '.389', 'FT': '33', 'FTA': '39', 'FT%': '.846', 'ORB': '11', 'DRB': '40', 'TRB': '51', 'AST': '18', 'STL': '9', 'BLK': '8', 'TOV': '21', 'PF': '33', 'PTS': '120', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '38', 'FGA': '89', 'FG%': '.427', '3P': '5', '3PA': '32', '3P%': '.156', 'FT': '20', 'FTA': '30', 'FT%': '.667', 'ORB': '9', 'DRB': '31', 'TRB': '40', 'AST': '22', 'STL': '9', 'BLK': '7', 'TOV': '24', 'PF': '31', 'PTS': '101', '+/-': nan}",2,0,0,0
SAS,NYK,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '83', 'FG%': '.506', '3P': '7', '3PA': '21', '3P%': '.333', 'FT': '29', 'FTA': '36', 'FT%': '.806', 'ORB': '10', 'DRB': '41', 'TRB': '51', 'AST': '22', 'STL': '6', 'BLK': '5', 'TOV': '21', 'PF': '18', 'PTS': '120', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '44', 'FGA': '94', 'FG%': '.468', '3P': '10', '3PA': '30', '3P%': '.333', 'FT': '13', 'FTA': '18', 'FT%': '.722', 'ORB': '5', 'DRB': '34', 'TRB': '39', 'AST': '24', 'STL': '16', 'BLK': '1', 'TOV': '14', 'PF': '32', 'PTS': '111', '+/-': nan}",4,0,0,0
DAL,WAS,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '35', 'FGA': '76', 'FG%': '.461', '3P': '11', '3PA': '36', '3P%': '.306', 'FT': '27', 'FTA': '33', 'FT%': '.818', 'ORB': '5', 'DRB': '41', 'TRB': '46', 'AST': '17', 'STL': '6', 'BLK': '5', 'TOV': '19', 'PF': '22', 'PTS': '108', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '93', 'FG%': '.398', '3P': '11', '3PA': '41', '3P%': '.268', 'FT': '15', 'FTA': '18', 'FT%': '.833', 'ORB': '11', 'DRB': '36', 'TRB': '47', 'AST': '26', 'STL': '6', 'BLK': '3', 'TOV': '17', 'PF': '32', 'PTS': '100', '+/-': nan}",2,1,0,0
UTA,OKC,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '40', 'FGA': '90', 'FG%': '.444', '3P': '6', '3PA': '24', '3P%': '.250', 'FT': '14', 'FTA': '20', 'FT%': '.700', 'ORB': '11', 'DRB': '38', 'TRB': '49', 'AST': '15', 'STL': '4', 'BLK': '5', 'TOV': '11', 'PF': '31', 'PTS': '100', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '32', 'FGA': '83', 'FG%': '.386', '3P': '10', '3PA': '27', '3P%': '.370', 'FT': '21', 'FTA': '31', 'FT%': '.677', 'ORB': '7', 'DRB': '41', 'TRB': '48', 'AST': '15', 'STL': '5', 'BLK': '4', 'TOV': '13', 'PF': '23', 'PTS': '95', '+/-': nan}",4,1,0,0
POR,DEN,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '36', 'FGA': '87', 'FG%': '.414', '3P': '7', '3PA': '28', '3P%': '.250', 'FT': '21', 'FTA': '23', 'FT%': '.913', 'ORB': '13', 'DRB': '35', 'TRB': '48', 'AST': '13', 'STL': '9', 'BLK': '4', 'TOV': '20', 'PF': '25', 'PTS': '100', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '34', 'FGA': '81', 'FG%': '.420', '3P': '18', '3PA': '32', '3P%': '.563', 'FT': '22', 'FTA': '27', 'FT%': '.815', 'ORB': '11', 'DRB': '34', 'TRB': '45', 'AST': '24', 'STL': '11', 'BLK': '4', 'TOV': '19', 'PF': '23', 'PTS': '108', '+/-': nan}",1,1,0,0
PHO,SAC,2019-10-23,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '49', 'FGA': '98', 'FG%': '.500', '3P': '11', '3PA': '33', '3P%': '.333', 'FT': '15', 'FTA': '18', 'FT%': '.833', 'ORB': '9', 'DRB': '35', 'TRB': '44', 'AST': '31', 'STL': '13', 'BLK': '9', 'TOV': '14', 'PF': '25', 'PTS': '124', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '34', 'FGA': '87', 'FG%': '.391', '3P': '10', '3PA': '29', '3P%': '.345', 'FT': '17', 'FTA': '26', 'FT%': '.654', 'ORB': '12', 'DRB': '35', 'TRB': '47', 'AST': '17', 'STL': '5', 'BLK': '5', 'TOV': '26', 'PF': '24', 'PTS': '95', '+/-': nan}",3,0,0,0
DET,ATL,2019-10-24,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '35', 'FGA': '85', 'FG%': '.412', '3P': '10', '3PA': '37', '3P%': '.270', 'FT': '20', 'FTA': '22', 'FT%': '.909', 'ORB': '9', 'DRB': '30', 'TRB': '39', 'AST': '20', 'STL': '6', 'BLK': '5', 'TOV': '13', 'PF': '20', 'PTS': '100', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '44', 'FGA': '86', 'FG%': '.512', '3P': '11', '3PA': '31', '3P%': '.355', 'FT': '18', 'FTA': '21', 'FT%': '.857', 'ORB': '8', 'DRB': '34', 'TRB': '42', 'AST': '27', 'STL': '9', 'BLK': '2', 'TOV': '13', 'PF': '15', 'PTS': '117', '+/-': nan}",3,1,0,0
HOU,MIL,2019-10-24,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '33', 'FGA': '90', 'FG%': '.367', '3P': '16', '3PA': '48', '3P%': '.333', 'FT': '29', 'FTA': '39', 'FT%': '.744', 'ORB': '10', 'DRB': '47', 'TRB': '57', 'AST': '25', 'STL': '6', 'BLK': '6', 'TOV': '14', 'PF': '25', 'PTS': '111', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '46', 'FGA': '99', 'FG%': '.465', '3P': '16', '3PA': '46', '3P%': '.348', 'FT': '9', 'FTA': '18', 'FT%': '.500', 'ORB': '6', 'DRB': '47', 'TRB': '53', 'AST': '31', 'STL': '7', 'BLK': '10', 'TOV': '11', 'PF': '27', 'PTS': '117', '+/-': nan}",2,0,0,0
GSW,LAC,2019-10-24,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '39', 'FGA': '99', 'FG%': '.394', '3P': '15', '3PA': '42', '3P%': '.357', 'FT': '29', 'FTA': '30', 'FT%': '.967', 'ORB': '15', 'DRB': '27', 'TRB': '42', 'AST': '27', 'STL': '7', 'BLK': '0', 'TOV': '13', 'PF': '21', 'PTS': '122', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '50', 'FGA': '80', 'FG%': '.625', '3P': '18', '3PA': '32', '3P%': '.563', 'FT': '23', 'FTA': '30', 'FT%': '.767', 'ORB': '3', 'DRB': '36', 'TRB': '39', 'AST': '33', 'STL': '7', 'BLK': '5', 'TOV': '17', 'PF': '24', 'PTS': '141', '+/-': nan}",3,0,0,0
CHO,MIN,2019-10-25,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '84', 'FG%': '.440', '3P': '12', '3PA': '29', '3P%': '.414', 'FT': '13', 'FTA': '26', 'FT%': '.500', 'ORB': '9', 'DRB': '33', 'TRB': '42', 'AST': '26', 'STL': '6', 'BLK': '5', 'TOV': '19', 'PF': '29', 'PTS': '99', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '43', 'FGA': '91', 'FG%': '.473', '3P': '12', '3PA': '38', '3P%': '.316', 'FT': '23', 'FTA': '31', 'FT%': '.742', 'ORB': '13', 'DRB': '39', 'TRB': '52', 'AST': '30', 'STL': '11', 'BLK': '6', 'TOV': '15', 'PF': '21', 'PTS': '121', '+/-': nan}",2,1,0,0
BOS,TOR,2019-10-25,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '109', 'FG%': '.385', '3P': '13', '3PA': '38', '3P%': '.342', 'FT': '15', 'FTA': '16', 'FT%': '.938', 'ORB': '21', 'DRB': '35', 'TRB': '56', 'AST': '21', 'STL': '10', 'BLK': '8', 'TOV': '9', 'PF': '20', 'PTS': '112', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '78', 'FG%': '.474', '3P': '18', '3PA': '36', '3P%': '.500', 'FT': '14', 'FTA': '17', 'FT%': '.824', 'ORB': '5', 'DRB': '41', 'TRB': '46', 'AST': '22', 'STL': '2', 'BLK': '6', 'TOV': '23', 'PF': '28', 'PTS': '106', '+/-': nan}",5,1,0,0
MEM,CHI,2019-10-25,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '39', 'FGA': '94', 'FG%': '.415', '3P': '10', '3PA': '29', '3P%': '.345', 'FT': '14', 'FTA': '20', 'FT%': '.700', 'ORB': '15', 'DRB': '41', 'TRB': '56', 'AST': '24', 'STL': '8', 'BLK': '6', 'TOV': '18', 'PF': '21', 'PTS': '102', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '40', 'FGA': '93', 'FG%': '.430', '3P': '12', '3PA': '42', '3P%': '.286', 'FT': '18', 'FTA': '24', 'FT%': '.750', 'ORB': '9', 'DRB': '36', 'TRB': '45', 'AST': '18', 'STL': '14', 'BLK': '7', 'TOV': '13', 'PF': '21', 'PTS': '110', '+/-': nan}",3,1,0,0
NOP,DAL,2019-10-25,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '45', 'FGA': '98', 'FG%': '.459', '3P': '15', '3PA': '41', '3P%': '.366', 'FT': '11', 'FTA': '15', 'FT%': '.733', 'ORB': '12', 'DRB': '36', 'TRB': '48', 'AST': '30', 'STL': '6', 'BLK': '3', 'TOV': '14', 'PF': '22', 'PTS': '116', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '45', 'FGA': '93', 'FG%': '.484', '3P': '14', '3PA': '40', '3P%': '.350', 'FT': '19', 'FTA': '26', 'FT%': '.731', 'ORB': '12', 'DRB': '37', 'TRB': '49', 'AST': '23', 'STL': '8', 'BLK': '7', 'TOV': '11', 'PF': '19', 'PTS': '123', '+/-': nan}",3,0,0,0
OKC,WAS,2019-10-25,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '33', 'FGA': '83', 'FG%': '.398', '3P': '5', '3PA': '23', '3P%': '.217', 'FT': '14', 'FTA': '22', 'FT%': '.636', 'ORB': '7', 'DRB': '42', 'TRB': '49', 'AST': '14', 'STL': '7', 'BLK': '6', 'TOV': '18', 'PF': '18', 'PTS': '85', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '39', 'FGA': '97', 'FG%': '.402', '3P': '11', '3PA': '41', '3P%': '.268', 'FT': '8', 'FTA': '10', 'FT%': '.800', 'ORB': '8', 'DRB': '39', 'TRB': '47', 'AST': '21', 'STL': '9', 'BLK': '6', 'TOV': '15', 'PF': '21', 'PTS': '97', '+/-': nan}",2,0,0,0
DEN,PHO,2019-10-25,"{'PLAYER': 'Team Totals', 'MP': '265', 'FG': '36', 'FGA': '92', 'FG%': '.391', '3P': '7', '3PA': '27', '3P%': '.259', 'FT': '29', 'FTA': '36', 'FT%': '.806', 'ORB': '8', 'DRB': '37', 'TRB': '45', 'AST': '21', 'STL': '7', 'BLK': '12', 'TOV': '14', 'PF': '26', 'PTS': '108', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '265', 'FG': '34', 'FGA': '86', 'FG%': '.395', '3P': '8', '3PA': '28', '3P%': '.286', 'FT': '31', 'FTA': '32', 'FT%': '.969', 'ORB': '10', 'DRB': '44', 'TRB': '54', 'AST': '25', 'STL': '5', 'BLK': '1', 'TOV': '17', 'PF': '35', 'PTS': '107', '+/-': nan}",3,0,0,0
SAC,POR,2019-10-25,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '37', 'FGA': '87', 'FG%': '.425', '3P': '15', '3PA': '37', '3P%': '.405', 'FT': '23', 'FTA': '27', 'FT%': '.852', 'ORB': '13', 'DRB': '30', 'TRB': '43', 'AST': '17', 'STL': '10', 'BLK': '2', 'TOV': '17', 'PF': '26', 'PTS': '112', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '46', 'FGA': '85', 'FG%': '.541', '3P': '11', '3PA': '30', '3P%': '.367', 'FT': '19', 'FTA': '22', 'FT%': '.864', 'ORB': '5', 'DRB': '35', 'TRB': '40', 'AST': '23', 'STL': '8', 'BLK': '5', 'TOV': '16', 'PF': '23', 'PTS': '122', '+/-': nan}",4,1,0,0
LAL,UTA,2019-10-25,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '34', 'FGA': '86', 'FG%': '.395', '3P': '8', '3PA': '26', '3P%': '.308', 'FT': '19', 'FTA': '24', 'FT%': '.792', 'ORB': '11', 'DRB': '31', 'TRB': '42', 'AST': '19', 'STL': '14', 'BLK': '9', 'TOV': '14', 'PF': '21', 'PTS': '95', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '29', 'FGA': '70', 'FG%': '.414', '3P': '8', '3PA': '25', '3P%': '.320', 'FT': '20', 'FTA': '21', 'FT%': '.952', 'ORB': '3', 'DRB': '37', 'TRB': '40', 'AST': '19', 'STL': '8', 'BLK': '2', 'TOV': '22', 'PF': '25', 'PTS': '86', '+/-': nan}",3,1,0,0
MIL,MIA,2019-10-26,"{'PLAYER': 'Team Totals', 'MP': '265', 'FG': '41', 'FGA': '94', 'FG%': '.436', '3P': '17', '3PA': '54', '3P%': '.315', 'FT': '27', 'FTA': '35', 'FT%': '.771', 'ORB': '5', 'DRB': '42', 'TRB': '47', 'AST': '22', 'STL': '8', 'BLK': '4', 'TOV': '18', 'PF': '32', 'PTS': '126', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '265', 'FG': '46', 'FGA': '101', 'FG%': '.455', '3P': '16', '3PA': '44', '3P%': '.364', 'FT': '23', 'FTA': '36', 'FT%': '.639', 'ORB': '8', 'DRB': '46', 'TRB': '54', 'AST': '33', 'STL': '7', 'BLK': '3', 'TOV': '16', 'PF': '30', 'PTS': '131', '+/-': nan}",3,0,0,0
DET,PHI,2019-10-26,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '41', 'FGA': '76', 'FG%': '.539', '3P': '8', '3PA': '19', '3P%': '.421', 'FT': '21', 'FTA': '36', 'FT%': '.583', 'ORB': '5', 'DRB': '30', 'TRB': '35', 'AST': '20', 'STL': '11', 'BLK': '7', 'TOV': '23', 'PF': '28', 'PTS': '111', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '87', 'FG%': '.483', '3P': '13', '3PA': '34', '3P%': '.382', 'FT': '20', 'FTA': '30', 'FT%': '.667', 'ORB': '6', 'DRB': '32', 'TRB': '38', 'AST': '30', 'STL': '14', 'BLK': '3', 'TOV': '22', 'PF': '26', 'PTS': '117', '+/-': nan}",3,1,0,0
NYK,BOS,2019-10-26,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '31', 'FGA': '82', 'FG%': '.378', '3P': '7', '3PA': '27', '3P%': '.259', 'FT': '26', 'FTA': '34', 'FT%': '.765', 'ORB': '16', 'DRB': '39', 'TRB': '55', 'AST': '15', 'STL': '7', 'BLK': '4', 'TOV': '23', 'PF': '26', 'PTS': '95', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '42', 'FGA': '93', 'FG%': '.452', '3P': '15', '3PA': '41', '3P%': '.366', 'FT': '19', 'FTA': '29', 'FT%': '.655', 'ORB': '13', 'DRB': '33', 'TRB': '46', 'AST': '24', 'STL': '14', 'BLK': '9', 'TOV': '12', 'PF': '26', 'PTS': '118', '+/-': nan}",2,1,0,0
ATL,ORL,2019-10-26,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '43', 'FGA': '84', 'FG%': '.512', '3P': '9', '3PA': '30', '3P%': '.300', 'FT': '8', 'FTA': '15', 'FT%': '.533', 'ORB': '9', 'DRB': '43', 'TRB': '52', 'AST': '22', 'STL': '5', 'BLK': '9', 'TOV': '18', 'PF': '26', 'PTS': '103', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '35', 'FGA': '99', 'FG%': '.354', '3P': '5', '3PA': '31', '3P%': '.161', 'FT': '24', 'FTA': '26', 'FT%': '.923', 'ORB': '17', 'DRB': '29', 'TRB': '46', 'AST': '15', 'STL': '8', 'BLK': '7', 'TOV': '10', 'PF': '15', 'PTS': '99', '+/-': nan}",2,1,0,0
CLE,IND,2019-10-26,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '40', 'FGA': '80', 'FG%': '.500', '3P': '11', '3PA': '31', '3P%': '.355', 'FT': '19', 'FTA': '29', 'FT%': '.655', 'ORB': '12', 'DRB': '32', 'TRB': '44', 'AST': '23', 'STL': '9', 'BLK': '7', 'TOV': '18', 'PF': '20', 'PTS': '110', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '39', 'FGA': '87', 'FG%': '.448', '3P': '10', '3PA': '28', '3P%': '.357', 'FT': '11', 'FTA': '13', 'FT%': '.846', 'ORB': '6', 'DRB': '30', 'TRB': '36', 'AST': '23', 'STL': '7', 'BLK': '3', 'TOV': '17', 'PF': '27', 'PTS': '99', '+/-': nan}",3,0,0,0
HOU,NOP,2019-10-26,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '43', 'FGA': '94', 'FG%': '.457', '3P': '13', '3PA': '45', '3P%': '.289', 'FT': '27', 'FTA': '30', 'FT%': '.900', 'ORB': '9', 'DRB': '36', 'TRB': '45', 'AST': '27', 'STL': '7', 'BLK': '4', 'TOV': '19', 'PF': '22', 'PTS': '126', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '46', 'FGA': '100', 'FG%': '.460', '3P': '18', '3PA': '50', '3P%': '.360', 'FT': '13', 'FTA': '16', 'FT%': '.813', 'ORB': '9', 'DRB': '33', 'TRB': '42', 'AST': '27', 'STL': '9', 'BLK': '2', 'TOV': '17', 'PF': '30', 'PTS': '123', '+/-': nan}",4,1,0,0
CHI,TOR,2019-10-26,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '29', 'FGA': '97', 'FG%': '.299', '3P': '9', '3PA': '35', '3P%': '.257', 'FT': '17', 'FTA': '25', 'FT%': '.680', 'ORB': '12', 'DRB': '33', 'TRB': '45', 'AST': '18', 'STL': '9', 'BLK': '2', 'TOV': '15', 'PF': '22', 'PTS': '84', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '38', 'FGA': '82', 'FG%': '.463', '3P': '15', '3PA': '42', '3P%': '.357', 'FT': '17', 'FTA': '18', 'FT%': '.944', 'ORB': '10', 'DRB': '49', 'TRB': '59', 'AST': '27', 'STL': '9', 'BLK': '12', 'TOV': '22', 'PF': '25', 'PTS': '108', '+/-': nan}",0,0,0,0
SAS,WAS,2019-10-26,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '50', 'FGA': '108', 'FG%': '.463', '3P': '10', '3PA': '28', '3P%': '.357', 'FT': '14', 'FTA': '17', 'FT%': '.824', 'ORB': '21', 'DRB': '32', 'TRB': '53', 'AST': '29', 'STL': '6', 'BLK': '7', 'TOV': '9', 'PF': '19', 'PTS': '124', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '47', 'FGA': '95', 'FG%': '.495', '3P': '16', '3PA': '34', '3P%': '.471', 'FT': '12', 'FTA': '17', 'FT%': '.706', 'ORB': '8', 'DRB': '33', 'TRB': '41', 'AST': '30', 'STL': '3', 'BLK': '8', 'TOV': '12', 'PF': '15', 'PTS': '122', '+/-': nan}",4,0,0,0
UTA,SAC,2019-10-26,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '44', 'FGA': '78', 'FG%': '.564', '3P': '18', '3PA': '37', '3P%': '.486', 'FT': '7', 'FTA': '12', 'FT%': '.583', 'ORB': '2', 'DRB': '41', 'TRB': '43', 'AST': '28', 'STL': '6', 'BLK': '1', 'TOV': '21', 'PF': '22', 'PTS': '113', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '30', 'FGA': '81', 'FG%': '.370', '3P': '7', '3PA': '26', '3P%': '.269', 'FT': '14', 'FTA': '17', 'FT%': '.824', 'ORB': '6', 'DRB': '25', 'TRB': '31', 'AST': '16', 'STL': '5', 'BLK': '3', 'TOV': '17', 'PF': '19', 'PTS': '81', '+/-': nan}",1,0,0,0
PHO,LAC,2019-10-26,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '43', 'FGA': '86', 'FG%': '.500', '3P': '17', '3PA': '43', '3P%': '.395', 'FT': '27', 'FTA': '34', 'FT%': '.794', 'ORB': '9', 'DRB': '40', 'TRB': '49', 'AST': '32', 'STL': '9', 'BLK': '3', 'TOV': '16', 'PF': '34', 'PTS': '130', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '40', 'FGA': '87', 'FG%': '.460', '3P': '11', '3PA': '32', '3P%': '.344', 'FT': '31', 'FTA': '39', 'FT%': '.795', 'ORB': '10', 'DRB': '31', 'TRB': '41', 'AST': '20', 'STL': '8', 'BLK': '4', 'TOV': '12', 'PF': '32', 'PTS': '122', '+/-': nan}",4,0,0,0
OKC,GSW,2019-10-27,"{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '44', 'FGA': '78', 'FG%': '.564', '3P': '15', '3PA': '32', '3P%': '.469', 'FT': '17', 'FTA': '22', 'FT%': '.773', 'ORB': '8', 'DRB': '42', 'TRB': '50', 'AST': '24', 'STL': '8', 'BLK': '5', 'TOV': '23', 'PF': '26', 'PTS': '120', '+/-': nan}","{'PLAYER': 'Team Totals', 'MP': '240', 'FG': '30', 'FGA': '92', 'FG%': '.326', '3P': '5', '3PA': '33', '3P%': '.152', 'FT': '27', 'FTA': '31', 'FT%': '.871', 'ORB': '12', 'DRB': '27', 'TRB': '39', 'AST': '17', 'STL': '13', 'BLK': '2', 'TOV': '14', 'PF': '15', 'PTS': '92', '+/-': nan}",3,0,0,0
