home_team,away_team,upvotes,downvotes,date
MIL,BKN,11,3,2020-08-04
SAC,DAL,17,2,2020-08-04
LAC,PHO,40,2,2020-08-04
IND,ORL,2,6,2020-08-04
MIA,BOS,9,1,2020-08-04
POR,HOU,21,3,2020-08-04
UTA,MEM,1,2,2020-08-05
SAS,DEN,6,1,2020-08-05
WAS,PHI,1,2,2020-08-05
LAL,OKC,11,7,2020-08-05
ORL,TOR,3,2,2020-08-05
BOS,BKN,0,4,2020-08-05
SAC,NOP,4,5,2020-08-06
PHO,IND,9,2,2020-08-06
MIL,MIA,16,5,2020-08-06
DAL,LAC,17,2,2020-08-06
DEN,POR,13,3,2020-08-06
HOU,LAL,3,10,2020-08-06
SAS,UTA,1,2,2020-08-07
MEM,OKC,9,5,2020-08-07
BKN,SAC,1,1,2020-08-07
PHI,ORL,1,3,2020-08-07
NOP,WAS,2,1,2020-08-07
TOR,BOS,5,10,2020-08-07
POR,LAC,31,3,2020-08-08
DEN,UTA,49,2,2020-08-08
IND,LAL,13,2,2020-08-08
MIA,PHO,12,2,2020-08-08
DAL,MIL,32,0,2020-08-08
OKC,WAS,1,6,2020-08-09
TOR,MEM,3,3,2020-08-09
NOP,SAS,5,2,2020-08-09
BOS,ORL,12,3,2020-08-09
POR,PHI,20,1,2020-08-09
SAC,HOU,4,2,2020-08-09
LAC,BKN,2,1,2020-08-09
PHO,OKC,6,3,2020-08-10
UTA,DAL,7,3,2020-08-10
MIL,TOR,5,3,2020-08-10
MIA,IND,7,3,2020-08-10
LAL,DEN,18,4,2020-08-10
ORL,BKN,1,4,2020-08-11
SAS,HOU,3,6,2020-08-11
PHI,PHO,9,2,2020-08-11
MEM,BOS,4,2,2020-08-11
DAL,POR,58,6,2020-08-11
WAS,MIL,1,3,2020-08-11
SAC,NOP,1,1,2020-08-11
HOU,IND,1,4,2020-08-12
PHI,TOR,8,2,2020-08-12
OKC,MIA,16,0,2020-08-12
DEN,LAC,8,3,2020-08-12
